year,name,nationality,school
2022,Darrion Sellman,USA,The Royal Ballet
2022,Tsukino Tanaka,Japan,Norwegian National Ballet
2022,Luciana Sagioro,Brazil,École de l'Opéra National de Paris
2022,Mingyang Xie,China,The Royal Ballet School
2022,Dorian Plasse,France,Stuttgart Ballet
2022,Maya Schonbrun,USA,The Royal Swedish Ballet
2022,Amy Ronnfeldt,Australia,Forfeited her apprenticeship
2022,Sumin Lee,South Korea,Boston Ballet School
2021,António Casalinho,Portugal,Forfeited his apprenticeship
2021,Luca Abdel-Nour,Egypt,Dutch National Ballet Junior Company
2021,Andrey Jesus Maciano,Brazil,The Royal Ballet School
2021,Seojeong Yun,South Korea,San Francisco Ballet School (Trainee Program)
2021,Shunhei Fuchiyama,Japan,English National Ballet
2021,Ashley Coupal,Canada,English National Ballet
2021,Liya Fan,China,The Royal Ballet School
2020,Marco Masciari,Italy,The Royal Ballet
2020,Ava Arbuckle,USA,John Cranko School
2020,João Vitor Santana,Brazil,National Youth Ballet Hamburg
2020,Lin Zhang,China,Hamburg Ballet School - John Neumeier
2020,Chaeyeon Kang,South Korea,The Royal Ballet School
2020,Matei Holeleu,Romania,English National Ballet
2020,Vitor Augusto Vaz,Brazil,The Royal Ballet School
2020,Yuyan Wang,China,Forfeited her apprenticeship
2020,Catarina Pires,Portugal,Dutch National Ballet Junior Company
2019,Mackenzie Brown,USA,Académie Princesse Grace 
2019,Gabriel Figueredo,Brazil,Forfeited his apprenticeship as he has accepted a permanent contract with the Stuttgart Ballet
2019,Sumina Sasaki,Japan,The Royal Ballet
2019,Yu Wakizuka,Japan,San Francisco Ballet School (Trainee Program)
2019,Shuailun Wu,China,The Royal Ballet School
2019,João Vitor Da Silva,Brazil,San Francisco Ballet School
2019,Alexandre Joaquim,Portugal,Les Ballets de Monte Carlo
2019,Mio Sumiyama,Japan,Birmingham Royal Ballet
2019,Julia Shugart,USA,The Royal Ballet School
2019,Jihyun Choi,South Korea,
2019,Yoon Jung Seo,South Korea,ABT Studio Company / American Ballet Theatre II
2018,Shale Wagman,Canada,English National Ballet
2018,Hanna Park,South Korea,The Royal Ballet School
2018,Wenjin Guo,China,Dutch National Ballet Academy
2018,Junsu Lee,South Korea,
2018,Xinyue Zhao,China,The Royal Ballet School
2018,Miguel Angel David Aranda Maidana,Paraguay,English National Ballet
2018,Carolyne Galvao,Brazil,English National Ballet
2018,Aviva Gelfer-Mündl,USA,Vaganova Ballet Academy
2018,Lukas Bareman,Belgium,
2018,Davide Loricchio,Italy,The Royal Ballet
2017,Michele Esposito,Italy,Dutch National Ballet Junior Company
2017,Marina Fernandes da Costa Duarte,Brazil,Bayerisches Staatsballett
2017,Taisuke Nakao,Japan,The Royal Ballet School
2017,Koyo Yamamoto,Japan,Tanz Akademie Zürich
2017,Lauren Hunter,USA,The Royal Ballet School
2017,Stanislaw Wegrzyn,Poland,The Royal Ballet
2017,Diana Georgia Ionescu,Romania,Stuttgart Ballet
2017,Sunu Lim,South Korea,
2017,Denilson Almeida,Brazil,
2017,Fangqi Li,China,ABT Studio Company / American Ballet Theatre II
2016,Hang Yu,China,The Royal Ballet School
2016,Madison Young,USA,Houston Ballet
2016,Vincenzo Di Primo,Italy,The Royal Ballet
2016,Leroy Mokgatle,South Africa,Dutch National Ballet Academy
2016,Laura Fernandez,Switzerland,Did not use her scholarship
2016,Junnosuke Nakamura,Japan,Canada's National Ballet School
2016,Dingkai Bai,China,The Royal Ballet School
2016,Danbi Kim,South Korea,
2016,Seu Kim,South Korea,The Royal Swedish Ballet
2015,Harrison Lee,Australia,The Royal Ballet School
2015,Jisoo Park,South Korea,Stuttgart Ballet
2015,Mitsuru Ito,Japan,Birmingham Royal Ballet
